Symbol,Date,Close Price,Volume
BTC-USD,08-04-2024,71631.359375,37261432669.0
BTC-USD,09-04-2024,69139.015625,36426900409.0
BTC-USD,10-04-2024,70587.8828125,38318601774.0
BTC-USD,11-04-2024,70060.609375,30153382941.0
BTC-USD,12-04-2024,67195.8671875,44129299406.0
BTC-USD,13-04-2024,63821.47265625,52869738185.0
BTC-USD,14-04-2024,65738.7265625,49084320047.0
BTC-USD,15-04-2024,63426.2109375,43595917654.0
BTC-USD,16-04-2024,63811.86328125,42847528078.0
BTC-USD,17-04-2024,61276.69140625,41915247049.0
BTC-USD,18-04-2024,63512.75390625,36006307335.0
BTC-USD,19-04-2024,63843.5703125,49920425401.0
BTC-USD,20-04-2024,64994.44140625,23097485495.0
BTC-USD,21-04-2024,64926.64453125,20506644853.0
BTC-USD,22-04-2024,66837.6796875,28282686673.0
BTC-USD,23-04-2024,66407.2734375,24310975583.0
BTC-USD,24-04-2024,64276.8984375,30276655120.0
BTC-USD,25-04-2024,64481.70703125,32155786816.0
BTC-USD,26-04-2024,63755.3203125,24139372950.0
BTC-USD,27-04-2024,63419.140625,19530783039.0
BTC-USD,28-04-2024,63113.23046875,17334827993.0
BTC-USD,29-04-2024,63841.12109375,26635912073.0
BTC-USD,30-04-2024,60636.85546875,37840840057.0
BTC-USD,01-05-2024,58254.01171875,48439780271.0
BTC-USD,02-05-2024,59123.43359375,32711813559.0
BTC-USD,03-05-2024,62889.8359375,33172023048.0
BTC-USD,04-05-2024,63891.47265625,20620477992.0
BTC-USD,05-05-2024,64031.1328125,18296164805.0
BTC-USD,06-05-2024,63161.94921875,28697928697.0
BTC-USD,07-05-2024,62334.81640625,25930730982.0
TSLA,08-04-2024,172.97999572753906,104423300.0
TSLA,09-04-2024,176.8800048828125,103232700.0
TSLA,10-04-2024,171.75999450683594,84532400.0
TSLA,11-04-2024,174.60000610351562,94516000.0
TSLA,12-04-2024,171.0500030517578,64506600.0
TSLA,15-04-2024,161.47999572753906,100245300.0
TSLA,16-04-2024,157.11000061035156,97000000.0
TSLA,17-04-2024,155.4499969482422,82439700.0
TSLA,18-04-2024,149.92999267578125,96098800.0
TSLA,19-04-2024,147.0500030517578,86005100.0
TSLA,22-04-2024,142.0500030517578,107097600.0
TSLA,23-04-2024,144.67999267578125,124545100.0
TSLA,24-04-2024,162.1300048828125,181178000.0
TSLA,25-04-2024,170.17999267578125,126427500.0
TSLA,26-04-2024,168.2899932861328,109815700.0
TSLA,29-04-2024,194.0500030517578,243869700.0
TSLA,30-04-2024,183.27999877929688,127031800.0
TSLA,01-05-2024,179.99000549316406,92829700.0
TSLA,02-05-2024,180.00999450683594,89148000.0
TSLA,03-05-2024,181.19000244140625,75491500.0
TSLA,06-05-2024,184.75999450683594,84390300.0
TSLA,07-05-2024,177.80999755859375,75045900.0
GM,08-04-2024,44.34000015258789,8250400.0
GM,09-04-2024,44.72999954223633,8794800.0
GM,10-04-2024,43.939998626708984,11636400.0
GM,11-04-2024,43.84000015258789,19563000.0
GM,12-04-2024,43.08000183105469,11901500.0
GM,15-04-2024,42.689998626708984,13499600.0
GM,16-04-2024,42.65999984741211,12384900.0
GM,17-04-2024,42.459999084472656,10663300.0
GM,18-04-2024,42.439998626708984,14180500.0
GM,19-04-2024,42.369998931884766,15469300.0
GM,22-04-2024,43.209999084472656,21315100.0
GM,23-04-2024,45.099998474121094,28767300.0
GM,24-04-2024,45.08000183105469,15013900.0
GM,25-04-2024,45.619998931884766,14912500.0
GM,26-04-2024,45.84000015258789,12153300.0
GM,29-04-2024,46.040000915527344,10550300.0
GM,30-04-2024,44.529998779296875,15951300.0
GM,01-05-2024,44.470001220703125,13986800.0
GM,02-05-2024,44.66999816894531,13214900.0
GM,03-05-2024,44.86000061035156,10046000.0
GM,06-05-2024,45.060001373291016,10301600.0
GM,07-05-2024,45.279998779296875,9135900.0
